[10/10/25 03:16PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:17PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:18PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:21PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:25PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:26PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:27PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:28PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:33PM] History Hawk used command ::bank | Player rights = ONYX_DONATOR	
[10/10/25 03:36PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/10/25 07:10PM] History Hawk used command ::vboss | Player rights = ZENYTE_DONATOR	
[10/10/25 07:35PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 05:21AM] History Hawk used command ::nephilim | Player rights = ZENYTE_DONATOR	
[10/11/25 05:33AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 05:36AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 05:42AM] History Hawk used command ::slayerboss | Player rights = ZENYTE_DONATOR	
[10/11/25 05:45AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 05:46AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 05:47AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 05:53AM] History Hawk used command ::perks 4 | Player rights = ZENYTE_DONATOR	
[10/11/25 06:03AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 06:03AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 08:52AM] History Hawk used command ::vobss | Player rights = ZENYTE_DONATOR	
[10/11/25 08:52AM] History Hawk used command ::vboss | Player rights = ZENYTE_DONATOR	
[10/11/25 08:55AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 09:01AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 09:02AM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 09:02AM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 09:16AM] History Hawk used command ::slayrboss | Player rights = ZENYTE_DONATOR	
[10/11/25 09:16AM] History Hawk used command ::slayerboss | Player rights = ZENYTE_DONATOR	
[10/11/25 09:18AM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:29PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:31PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:31PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:32PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:33PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:34PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:36PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:37PM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 03:38PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:41PM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 03:41PM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 03:46PM] History Hawk used command ::shops | Player rights = ZENYTE_DONATOR	
[10/11/25 03:46PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:47PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:48PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:51PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:53PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:56PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:57PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 03:59PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:00PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:02PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:04PM] History Hawk used command ::vboss | Player rights = ZENYTE_DONATOR	
[10/11/25 04:04PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:07PM] History Hawk used command ::dk | Player rights = ZENYTE_DONATOR	
[10/11/25 04:07PM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 04:25PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:27PM] History Hawk used command ::dr | Player rights = ZENYTE_DONATOR	
[10/11/25 04:28PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:28PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:30PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:31PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:34PM] History Hawk used command ::bank | Player rights = ZENYTE_DONATOR	
[10/11/25 04:36PM] History Hawk used command ::bank | Player rights = TANZANITE_DONATOR	
[10/11/25 04:39PM] History Hawk used command ::afk | Player rights = TANZANITE_DONATOR	
[10/11/25 04:40PM] History Hawk used command ::shops | Player rights = TANZANITE_DONATOR	
[10/11/25 04:41PM] History Hawk used command ::tanzanite | Player rights = TANZANITE_DONATOR	
[10/11/25 06:53PM] History Hawk used command ::teleto onyx | Player rights = TANZANITE_DONATOR	
[10/11/25 06:53PM] History Hawk used command ::onyx | Player rights = TANZANITE_DONATOR	
[10/11/25 06:53PM] History Hawk used command ::players | Player rights = TANZANITE_DONATOR	
[10/11/25 06:55PM] History Hawk used command ::diamond | Player rights = TANZANITE_DONATOR	
[10/11/25 07:02PM] History Hawk used command ::onyx | Player rights = TANZANITE_DONATOR	
[10/11/25 07:02PM] History Hawk used command ::sponsor | Player rights = TANZANITE_DONATOR	
[10/11/25 07:02PM] History Hawk used command ::sponser | Player rights = TANZANITE_DONATOR	
[10/11/25 07:03PM] History Hawk used command ::sponsor | Player rights = TANZANITE_DONATOR	
[10/11/25 07:03PM] History Hawk used command ::leet | Player rights = TANZANITE_DONATOR	
[10/11/25 07:04PM] History Hawk used command ::bank | Player rights = TANZANITE_DONATOR	
[10/11/25 07:04PM] History Hawk used command ::bank | Player rights = TANZANITE_DONATOR	
[10/11/25 07:04PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 07:05PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 07:05PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 07:06PM] History Hawk used command ::platinum | Player rights = PLATINUM_DONATOR	
[10/11/25 08:36PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:36PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:41PM] History Hawk used command ::shops | Player rights = PLATINUM_DONATOR	
[10/11/25 08:45PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:47PM] History Hawk used command ::onyx | Player rights = PLATINUM_DONATOR	
[10/11/25 08:48PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:49PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:51PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:52PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:55PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 08:57PM] History Hawk used command ::platinum | Player rights = PLATINUM_DONATOR	
[10/11/25 08:58PM] History Hawk used command ::dk | Player rights = PLATINUM_DONATOR	
[10/11/25 10:22PM] History Hawk used command ::home | Player rights = PLATINUM_DONATOR	
[10/11/25 10:24PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 10:26PM] History Hawk used command ::dk | Player rights = PLATINUM_DONATOR	
[10/11/25 10:37PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 10:40PM] History Hawk used command ::vobss | Player rights = PLATINUM_DONATOR	
[10/11/25 10:40PM] History Hawk used command ::vboss | Player rights = PLATINUM_DONATOR	
[10/11/25 10:40PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 10:47PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 10:48PM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/11/25 10:53PM] History Hawk used command ::slayerboss | Player rights = PLATINUM_DONATOR	
[10/11/25 10:55PM] History Hawk used command ::home | Player rights = PLATINUM_DONATOR	
[10/11/25 10:59PM] History Hawk used command ::platinum | Player rights = PLATINUM_DONATOR	
[10/12/25 08:35AM] History Hawk used command ::dk | Player rights = PLATINUM_DONATOR	
[10/13/25 08:27AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 08:29AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 08:43AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 08:44AM] History Hawk used command ::home | Player rights = PLATINUM_DONATOR	
[10/13/25 08:44AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
[10/13/25 08:53AM] History Hawk used command ::maxhit | Player rights = PLATINUM_DONATOR	
[10/13/25 11:29AM] History Hawk used command ::bank | Player rights = PLATINUM_DONATOR	
